session_id,area,natural_movie_one,natural_movie_three,natural_scenes
715093703,CA1,140.0,140.0,140.0
715093703,LGd,82.0,82.0,82.0
715093703,VISam,30.0,30.0,30.0
715093703,VISl,37.0,37.0,37.0
715093703,VISpm,50.0,50.0,50.0
715093703,VISrl,75.0,75.0,75.0
719161530,CA1,107.0,107.0,107.0
719161530,LGd,71.0,71.0,71.0
719161530,VISam,37.0,37.0,37.0
719161530,VISl,40.0,40.0,40.0
719161530,VISp,52.0,52.0,52.0
721123822,CA1,70.0,70.0,70.0
721123822,VISal,37.0,37.0,0.0
721123822,VISam,38.0,38.0,38.0
721123822,VISl,27.0,27.0,27.0
721123822,VISp,40.0,40.0,40.0
721123822,VISrl,46.0,46.0,0.0
732592105,VISal,77.0,0.0,0.0
732592105,VISl,30.0,30.0,30.0
732592105,VISp,109.0,109.0,109.0
732592105,VISpm,66.0,66.0,66.0
732592105,VISrl,61.0,61.0,61.0
739448407,VISam,56.0,56.0,56.0
739448407,VISl,24.0,0.0,24.0
739448407,VISrl,64.0,64.0,64.0
742951821,VISal,44.0,44.0,44.0
742951821,VISl,46.0,46.0,46.0
742951821,VISp,32.0,0.0,0.0
742951821,VISpm,23.0,23.0,23.0
742951821,VISrl,78.0,78.0,78.0
743475441,CA1,20.0,20.0,20.0
743475441,LGd,42.0,42.0,42.0
743475441,VISam,53.0,53.0,53.0
743475441,VISp,45.0,0.0,45.0
743475441,VISrl,68.0,68.0,68.0
744228101,CA1,104.0,104.0,104.0
744228101,VISal,36.0,36.0,36.0
744228101,VISl,22.0,22.0,22.0
744228101,VISp,35.0,35.0,35.0
744228101,VISrl,26.0,26.0,26.0
746083955,LGd,34.0,34.0,34.0
746083955,VISal,24.0,24.0,24.0
746083955,VISpm,114.0,114.0,114.0
746083955,VISrl,35.0,35.0,35.0
750332458,VISal,64.0,64.0,64.0
750332458,VISam,60.0,60.0,60.0
750332458,VISl,34.0,34.0,34.0
750332458,VISp,62.0,62.0,62.0
750332458,VISrl,37.0,37.0,37.0
750749662,CA1,96.0,96.0,96.0
750749662,LGd,81.0,81.0,81.0
750749662,VISal,41.0,41.0,41.0
750749662,VISam,64.0,64.0,64.0
750749662,VISp,52.0,52.0,52.0
750749662,VISpm,61.0,61.0,61.0
750749662,VISrl,40.0,40.0,40.0
751348571,CA1,74.0,74.0,74.0
751348571,LGd,53.0,53.0,53.0
751348571,VISam,71.0,71.0,71.0
751348571,VISl,21.0,21.0,21.0
751348571,VISp,49.0,49.0,49.0
751348571,VISpm,36.0,36.0,36.0
751348571,VISrl,82.0,82.0,82.0
754312389,CA1,0.0,0.0,128.0
754312389,LGd,0.0,0.0,27.0
754312389,VISal,0.0,0.0,31.0
754312389,VISam,0.0,0.0,64.0
754312389,VISp,0.0,0.0,102.0
754312389,VISpm,0.0,0.0,21.0
754312389,VISrl,0.0,0.0,36.0
754829445,CA1,118.0,118.0,118.0
754829445,LGd,90.0,90.0,90.0
754829445,VISam,47.0,47.0,47.0
754829445,VISp,88.0,88.0,88.0
754829445,VISpm,21.0,21.0,21.0
754829445,VISrl,28.0,28.0,28.0
755434585,CA1,41.0,41.0,41.0
755434585,LGd,43.0,43.0,43.0
755434585,VISal,32.0,32.0,32.0
755434585,VISam,94.0,94.0,94.0
755434585,VISl,21.0,21.0,21.0
755434585,VISp,73.0,73.0,73.0
755434585,VISpm,61.0,61.0,61.0
755434585,VISrl,47.0,47.0,47.0
756029989,CA1,112.0,112.0,112.0
756029989,LGd,59.0,59.0,59.0
756029989,VISal,49.0,49.0,49.0
756029989,VISam,72.0,72.0,72.0
756029989,VISl,27.0,27.0,27.0
756029989,VISp,49.0,49.0,49.0
756029989,VISpm,90.0,90.0,90.0
756029989,VISrl,24.0,24.0,24.0
757216464,CA1,108.0,108.0,108.0
757216464,VISal,51.0,51.0,51.0
757216464,VISam,64.0,64.0,64.0
757216464,VISl,51.0,51.0,51.0
757216464,VISp,85.0,85.0,85.0
757216464,VISrl,37.0,37.0,37.0
757970808,CA1,123.0,123.0,123.0
757970808,LGd,45.0,45.0,45.0
757970808,VISal,52.0,52.0,52.0
757970808,VISam,69.0,69.0,69.0
757970808,VISp,79.0,79.0,79.0
757970808,VISrl,46.0,46.0,46.0
758798717,CA1,115.0,115.0,115.0
758798717,VISal,79.0,79.0,79.0
758798717,VISam,48.0,48.0,48.0
758798717,VISp,45.0,45.0,45.0
758798717,VISpm,22.0,22.0,22.0
759883607,CA1,82.0,82.0,82.0
759883607,LGd,23.0,23.0,23.0
759883607,VISal,41.0,41.0,41.0
759883607,VISam,55.0,55.0,55.0
759883607,VISp,56.0,56.0,56.0
759883607,VISpm,47.0,47.0,47.0
760345702,CA1,87.0,87.0,87.0
760345702,LGd,37.0,37.0,37.0
760345702,VISal,53.0,53.0,53.0
760345702,VISam,55.0,55.0,55.0
760345702,VISl,48.0,48.0,48.0
760345702,VISp,72.0,72.0,72.0
760345702,VISpm,44.0,44.0,44.0
760693773,VISal,128.0,128.0,128.0
760693773,VISam,70.0,70.0,70.0
760693773,VISp,88.0,88.0,88.0
760693773,VISpm,53.0,53.0,53.0
760693773,VISrl,66.0,66.0,66.0
761418226,CA1,143.0,143.0,143.0
761418226,LGd,41.0,41.0,41.0
761418226,VISal,185.0,185.0,185.0
761418226,VISp,36.0,36.0,36.0
761418226,VISpm,39.0,39.0,39.0
761418226,VISrl,109.0,109.0,109.0
762120172,VISal,89.0,89.0,89.0
762120172,VISam,33.0,33.0,33.0
762120172,VISl,73.0,73.0,73.0
762120172,VISp,83.0,83.0,83.0
762602078,CA1,101.0,101.0,101.0
762602078,VISam,52.0,52.0,52.0
762602078,VISp,75.0,75.0,75.0
762602078,VISrl,58.0,58.0,58.0
763673393,CA1,128.0,128.0,128.0
763673393,LGd,77.0,77.0,77.0
763673393,VISam,73.0,73.0,73.0
763673393,VISl,36.0,36.0,36.0
763673393,VISp,73.0,73.0,73.0
763673393,VISrl,43.0,43.0,43.0
773418906,CA1,70.0,70.0,70.0
773418906,VISal,164.0,164.0,164.0
773418906,VISp,37.0,37.0,37.0
773418906,VISrl,38.0,38.0,38.0
791319847,CA1,84.0,84.0,84.0
791319847,VISal,42.0,42.0,42.0
791319847,VISam,48.0,48.0,48.0
791319847,VISl,54.0,54.0,54.0
791319847,VISp,93.0,93.0,93.0
791319847,VISrl,58.0,58.0,58.0
797828357,CA1,47.0,47.0,47.0
797828357,VISal,24.0,0.0,0.0
797828357,VISam,66.0,66.0,66.0
797828357,VISl,58.0,58.0,58.0
797828357,VISp,84.0,84.0,84.0
797828357,VISpm,51.0,51.0,51.0
798911424,CA1,132.0,132.0,132.0
798911424,VISal,89.0,89.0,89.0
798911424,VISam,132.0,132.0,132.0
798911424,VISl,78.0,78.0,78.0
798911424,VISp,93.0,93.0,93.0
798911424,VISrl,46.0,46.0,46.0
799864342,CA1,106.0,106.0,106.0
799864342,LGd,70.0,70.0,70.0
799864342,VISal,52.0,52.0,52.0
799864342,VISam,28.0,28.0,28.0
799864342,VISl,40.0,40.0,40.0
799864342,VISp,73.0,73.0,73.0
799864342,VISrl,29.0,29.0,29.0
